BidPrice1,BidVolume1,BidPrice2,BidVolume2,BidPrice3,BidVolume3,BidPrice4,BidVolume4,BidPrice5,BidVolume5,AskPrice1,AskVolume1,AskPrice2,AskVolume2,AskPrice3,AskVolume3,AskPrice4,AskVolume4,AskPrice5,AskVolume5,timeMs
8.3,83800.0,8.29,43900.0,8.28,45900.0,8.27,47700.0,8.26,32500.0,8.31,1300.0,8.32,34700.0,8.33,23300.0,8.34,12100.0,8.35,25100.0,1245000
8.31,1700.0,8.3,85000.0,8.29,43900.0,8.28,45900.0,8.27,47700.0,8.32,34700.0,8.33,23300.0,8.34,12100.0,8.35,25100.0,8.36,49800.0,1248000
8.31,1000.0,8.3,84900.0,8.29,44400.0,8.28,46400.0,8.27,48300.0,8.32,34700.0,8.33,23300.0,8.34,12100.0,8.35,25100.0,8.36,49800.0,1251000
8.3,86600.0,8.29,44400.0,8.28,46400.0,8.27,48300.0,8.26,33500.0,8.31,10900.0,8.32,34700.0,8.33,23300.0,8.34,12100.0,8.35,26100.0,1254000
8.3,86600.0,8.29,44400.0,8.28,46400.0,8.27,48300.0,8.26,33500.0,8.31,8700.0,8.32,34700.0,8.33,23300.0,8.34,12100.0,8.35,26100.0,1257000
8.3,86000.0,8.29,44400.0,8.28,46400.0,8.27,48300.0,8.26,33500.0,8.31,8900.0,8.32,36700.0,8.33,23300.0,8.34,12100.0,8.35,26100.0,1260000
8.3,75500.0,8.29,44400.0,8.28,45400.0,8.27,48300.0,8.26,33700.0,8.31,7200.0,8.32,36700.0,8.33,23300.0,8.34,12100.0,8.35,26100.0,1263000
8.3,75200.0,8.29,44400.0,8.28,45400.0,8.27,48300.0,8.26,33700.0,8.31,9200.0,8.32,36700.0,8.33,23300.0,8.34,12100.0,8.35,26100.0,1266000
8.3,76000.0,8.29,44400.0,8.28,45400.0,8.27,48300.0,8.26,33700.0,8.31,10200.0,8.32,36700.0,8.33,23300.0,8.34,12100.0,8.35,26100.0,1269000
8.3,71400.0,8.29,45000.0,8.28,45400.0,8.27,48300.0,8.26,32700.0,8.31,11800.0,8.32,50100.0,8.33,23300.0,8.34,12100.0,8.35,25800.0,1272000
8.3,70600.0,8.29,45300.0,8.28,45400.0,8.27,48300.0,8.26,32700.0,8.31,11400.0,8.32,50100.0,8.33,23300.0,8.34,12100.0,8.35,25800.0,1275000
8.3,66100.0,8.29,45300.0,8.28,45400.0,8.27,48300.0,8.26,32700.0,8.31,11000.0,8.32,48600.0,8.33,23300.0,8.34,12100.0,8.35,25800.0,1278000
8.3,70800.0,8.29,45300.0,8.28,45400.0,8.27,50200.0,8.26,33200.0,8.31,10800.0,8.32,48600.0,8.33,23300.0,8.34,12100.0,8.35,25800.0,1281000
8.3,69600.0,8.29,45300.0,8.28,45400.0,8.27,50200.0,8.26,34500.0,8.31,17200.0,8.32,48600.0,8.33,23300.0,8.34,12100.0,8.35,25800.0,1284000
8.3,56700.0,8.29,45300.0,8.28,45400.0,8.27,50200.0,8.26,34500.0,8.31,20200.0,8.32,48600.0,8.33,23300.0,8.34,12100.0,8.35,25800.0,1287000
8.3,12200.0,8.29,45300.0,8.28,45400.0,8.27,50200.0,8.26,34500.0,8.31,21700.0,8.32,48600.0,8.33,23300.0,8.34,12100.0,8.35,25800.0,1290000
8.29,41300.0,8.28,44800.0,8.27,50200.0,8.26,34500.0,8.25,59400.0,8.3,500.0,8.31,21700.0,8.32,48600.0,8.33,23300.0,8.34,12100.0,1293000
8.29,43300.0,8.28,45300.0,8.27,50200.0,8.26,34500.0,8.25,59400.0,8.3,500.0,8.31,23800.0,8.32,48600.0,8.33,23300.0,8.34,12100.0,1296000
8.29,40400.0,8.28,45300.0,8.27,50200.0,8.26,34500.0,8.25,59400.0,8.3,900.0,8.31,23900.0,8.32,48600.0,8.33,23300.0,8.34,14100.0,1299000
8.29,41800.0,8.28,44800.0,8.27,50200.0,8.26,35000.0,8.25,59400.0,8.3,700.0,8.31,23900.0,8.32,48600.0,8.33,23300.0,8.34,14100.0,1302000
8.3,28000.0,8.29,41800.0,8.28,44800.0,8.27,50200.0,8.26,35000.0,8.31,23700.0,8.32,48600.0,8.33,23300.0,8.34,14100.0,8.35,25900.0,1305000
8.3,25400.0,8.29,43800.0,8.28,44800.0,8.27,50200.0,8.26,35000.0,8.31,19500.0,8.32,48600.0,8.33,23300.0,8.34,14100.0,8.35,25900.0,1308000
8.3,23200.0,8.29,43800.0,8.28,44800.0,8.27,50200.0,8.26,35000.0,8.31,19700.0,8.32,48600.0,8.33,23300.0,8.34,15100.0,8.35,25900.0,1311000
8.3,22000.0,8.29,45800.0,8.28,44800.0,8.27,50200.0,8.26,35000.0,8.31,21500.0,8.32,35200.0,8.33,23300.0,8.34,15100.0,8.35,25900.0,1314000
8.3,20200.0,8.29,45800.0,8.28,46800.0,8.27,50200.0,8.26,35000.0,8.31,21500.0,8.32,35200.0,8.33,23300.0,8.34,15100.0,8.35,25900.0,1317000
